day,room,column,row,entry,exits,image1,image2,letter,chess_colour,chess_piece,locked,security
14,entrance-hall,C,1,S,NEWS,face,ace,f,,,,
14,hallway,B,1,E,NEW,prayer,pryer,a,,,,
14,nook,B,2,S,SW,stair,star,i,,,,
14,den,A,2,E,NES,plane,plan,e,,,,
14,mail-room,A,1,N,N,dessert,desert,s,,,,
14,parlour,D,1,W,NW,pine,pin,e,,,,
14,storeroom,D,2,S,S,bat,bath,h,,,,
14,corridor,C,2,S,NS,bride,bridge,g,,,,
14,commissary,C,3,S,ES,road,rod,a,,,,
14,billiard-room,D,3,W,NW,clock,lock,c,,,,
14,secret-passage,D,4,S,NS,matchstick,tree,?,,,,
14,foyer,D,5,S,NS,chart,cart,h,,,,
14,pantry,D,6,S,SW,stage,stag,e,,,,
14,closet,C,6,E,E,plane,paint,?,,,,
14,west-wing-hall,A,3,S,NES,crow,row,c,,,,
14,chapel,B,3,W,NSW,,,,,,,
14,bedroom,B,4,S,ES,coat,cot,a,,,,
14,library,C,4,W,SW,stage,sage,t,,,,
14,gymnasium,A,4,S,NES,car,card,d,,,,
14,darkroom,A,5,S,NES,,,,,,,
14,planetarium,B,5,W,W,,,?,,,,
14,workshop,A,6,S,NS,rain,grain,g,,,,
14,spare-room,A,7,S,NS,,,,,,,
14,courtyard,A,8,S,NES,,,,,,,
14,music-room,A,9,S,ES,chief,chef,i,,,,
14,lavatory,B,9,W,W,flight,light,f,,,,
14,dining-room,B,8,W,ESW,boat,bat,o,,,,
14,boudoir,B,7,N,NE,tie,time,m,,,,
14,coat-check,C,7,W,W,paint,pint,a,,,,
14,archives,C,8,W,NESW,hose,house,u,,,,
14,boiler-room,D,8,W,NEW,,,,,,,
14,bunk-room,D,9,S,S,wheat,heat,w,,,,
14,security,E,8,W,NSW,plant,plan(t),t,,,,
14,secret-garden,E,7,N,NSW,,,,,,,
14,casino,E,6,N,NW,,,,,,,
15,entrance-hall,C,1,S,NESW,face,ace,f,,,,
15,parlour,D,1,W,NW,pine,pin,e,,,,
15,hallway,D,2,S,ESW,bath,bat,h,,,,
15,observatory,E,2,W,NW,car,cart,t,,,,
15,den,C,2,E,NES,bridge,bride,g,,,,
15,corridor,B,1,E,EW,prayer,pryer,a,,,,
15,commissary,A,1,E,NE,dessert,desert,s,,,,
15,nook,A,2,S,ES,plane,plan,e,,,,
15,courtyard,B,2,W,NSW,,,?,,,,
15,kitchen,B,3,S,SW,tie,tier,r,,,,
15,terrace,A,3,E,E,,,?,,,,
15,guest-bedroom,C,3,S,S,road,rod,a,,,,
15,chapel,E,3,S,NSW,,,?,,,,
15,bedroom,D,3,E,NE,clock,lock,c,,,,
15,classroom,D,4,S,SW,matchstick?,tree?,?,,,,
15,pool,C,4,E,NES,stage,sage,t,,,,
15,classroom,C,5,S,ES,tiger,tier,g,,,,
15,library,D,5,W,NW,chart,cart,h,,,,
15,aquarium,D,6,S,ESW,stage,stag,e,,,,
15,locksmith,E,6,W,W,coat,coast,s,,,,
15,dining-room,C,6,E,NEW,paint,plane,?,,,,
15,gymnasium,B,6,E,NEW,cost,coast,a,,,,
15,west-wing-hall,A,6,E,NES,rain,grain,g,,,,
15,darkroom,A,5,N,NES,,,?,,,,
15,furnace,A,4,N,N,,,?,,,,
15,weight-room,B,5,W,NESW,,,?,,,,
15,secret-passage,C,7,S,NS,paint,pint,a,,,,
15,cloister,C,8,S,NESW,,,?,,,,
16,entrance-hall,C,1,S,NESW,face,ace,f,,,,
16,tomb,O,1,,,,,?,,,,
16,den,D,1,W,NEW,pine,pin,e,,,,
16,closet,E,1,W,W,stag,tag,s,,,,
16,courtyard,D,2,S,ESW,,,?,,,,
16,storeroom,E,2,W,W,car,cart,t,,,,
16,security,C,2,E,ESW,bridge,bride,g,,,,
16,bedroom,B,2,E,ES,star,stair,i,,,,
16,hallway,B,1,N,NEW,prayer,pryer,a,,,,
16,parlour,A,1,E,NE,dessert,desert,s,,,,
16,secret-passage,A,2,S,NS,plane,plan,e,,,,
16,aquarium,A,3,S,NES,crow,row,c,,,,
16,west-wing-hall,A,4,S,NES,,,?,,,,
16,drawing-room,B,3,W,ESW,tier,tie,r,,,,
16,corridor,C,3,W,EW,rod,road,a,,,,
16,spare-room,D,3,W,EW,,,?,,,,
16,pantry,E,3,W,NW,peak,pea,k,,,,
16,chapel,E,4,S,NSW,,,?,,,,
16,dining-room,D,4,E,NES,flame,tree,?,,,,
16,bunk-room,D,5,S,S,chart,cart,h,,,,
16,billiard-room,E,5,S,SW,tent,ten,t,,,,
16,library,B,4,W,SW,coat,cot,a,,,,
16,darkroom,A,5,S,NES,,,?,,,,
16,coat-check,B,5,W,W,pilot,plot,i,,,,
16,guest-bedroom,A,6,S,S,grain,rain,g,,,,
17,entrance-hall,C,1,S,NESW,face,ace,f,,,,
17,root-cellar,O,1,,,,,?,,,,
17,hallway,D,1,W,NEW,pine,pin,e,,,,
17,freezer,E,1,W,W,stag,tag,s,,,,
17,spare-room,D,2,S,NS,,,?,,,,
17,parlour,D,3,S,ES,clock,lock,c,,,,
17,chapel,E,3,W,NSW,,,?,,,,
17,utility-closet,E,2,N,N,car,cart,t,,,,
17,closet,E,4,S,S,sand,and,s,,,,
17,bedroom,C,2,S,SW,bridge,bride,g,,,,
17,den,B,2,E,NES,stair,star,i,,,,
17,boudoir,B,1,N,NW,prayer,pryer,a,,,,
17,nook,A,1,E,NE,dessert,desert,s,,,,
17,storeroom,A,2,S,S,plane,plan,e,,,,
17,corridor,B,3,S,NS,tier,tie,r,,,,
17,darkroom,B,4,S,NES,cot,coat,a,,,,
17,pantry,B,5,S,SW,pilot,plot,i,,,,
17,library,A,5,E,NE,tube,tub,e,,,,
17,mail-room,A,6,S,S,grain,rain,g,,,,
18,entrance-hall,C,1,S,NESW,face,ace,f,,,,
18,library,B,1,E,NE,prayer,pryer,a,,,,
18,bookshop,B,2,S,SW,stair,star,i,,,,
18,storeroom,A,2,E,E,plane,plan,e,,,,
18,classroom,D,1,W,NW,pine,pin,e,,,,
18,nook,D,2,S,ES,bath,bat,h,,,,
18,parlour,E,2,W,SW,car,cart,t,,,,
18,office,E,1,N,NW,stag,tag,s,,,,
18,spare-room,C,2,S,NS,bridge,bride,g,,,,
18,den,C,3,S,ESW,rod,road,a,,,,
18,hallway,D,3,W,NSW,clock,lock,c,,,,
18,security,B,3,,NES,tier,tie,r,,,,
18,boiler-room,B,4,S,ESW,cot,coat,a,,,,
18,darkroom,A,4,E,NES,car,card,d,,,,
18,wine-cellar,A,3,N,N,crow,row,c,,,,
18,classroom,C,4,W,NW,stage,sage,t,,,,
18,billiard-room,C,5,S,SW,tiger,tier,g,,,,
18,corridor,D,4,S,NS,fire,fir,e,,,,
18,chapel,D,5,S,ESW,chart,cart,h,,,,
18,classroom,B,5,E,NE,pilot,plot,i,,,,
18,laboratory,B,6,E,NE,cost,coast,a,,,,
18,dining-room,C,6,W,ESW,planet,plane,t,,,,
18,archives,D,6,W,NESW,stage,stag,e,,,,
18,guest-bedroom,D,8,S,S,crown,crow,n,,,,
18,utility-closet,C,7,E,E,paint,pint,a,,,,
18,study,E,6,W,W,coat,coast,s,,,,
18,gymnasium,E,5,W,NSW,tent,ten,t,,,,
18,maids-chambers,E,4,N,NW,sand,and,s,,,,
19,entrance-hall,C,1,S,NESW,face,ace,f,,,,
19,tool-shed,O,1,,,,,?,,,,
19,den,B,1,E,NEW,prayer,pryer,a,,,,
19,parlour,A,1,E,NE,dessert,desert,s,,,,
19,west-wing-hall,A,2,S,NES,plane,plan,e,,,,
19,courtyard,B,2,W,NEW,stair,star,i,,,,
19,nursery,C,2,W,W,bridge,bride,g,,,,
19,nook,B,3,S,ES,tier,tie,r,,,,
19,bedroom,C,3,W,NW,rod,road,a,,,,
19,passageway,C,4,S,NESW,stage,sage,t,,,,
19,boiler-room,B,4,E,ESW,cot,coat,a,,,,
19,security,A,4,E,NES,car,card,d,,,,
19,chapel,A,3,N,NES,crow,row,c,,,,
19,library,D,1,W,NW,pine,pin,e,,,,
19,casino,D,2,S,ES,bath,bat,h,,,,
19,patio,E,2,W,NW,car,cart,t,,,,
19,kitchen,E,3,S,SW,peak,pea,k,,,,
19,hallway,D,3,E,NEW,clock,lock,c,,,,
19,pantry,D,4,S,ES,fire,fir,e,,,,
19,drawing-room,E,4,,NSW,sand,and,s,,,,
19,boudoir,E,5,,SW,tent,ten,t,,,,
19,rumpus-room,D,5,E,EW,chart,cart,h,,,,
19,dining-room,C,5,E,NES,tiger,tier,g,,,,
19,mail-room,C,6,S,S,planet,plane,t,,,,
19,spare-room,A,5,S,NS,tube,tub,e,,,,
19,commissary,A,6,S,ES,grain,rain,g,,,,
19,office,B,6,W,SW,cost,coast,a,,,,
19,freezer,B,5,N,N,pilot,plot,i,,,,
20,entrance-hall,C,1,S,NESW,face,ace,f,,,,
20,shelter,O,1,,,,,?,,,,
20,parlour,D,1,W,NW,pine,pin,e,,,,
20,hallway,D,2,S,ESW,bath,bat,h,,,,
20,chapel,E,2,W,NSW,car,cart,t,,,,
20,nook,E,1,N,NW,stag,tag,s,,,,
20,den,C,2,,NES,bridge,bride,g,,,,
20,darkroom,B,1,E,NEW,prayer,pryer,a,,,,
20,bedroom,A,1,E,NE,dessert,desert,s,,,,
20,corridor,A,2,S,NS,plane,plan,e,,,,
20,spare-room,A,3,S,NS,crow,row,c,,,,
20,garage,A,4,S,S,car,card,d,,,,
20,storeroom,B,2,S,S,stair,star,i,,,,
20,observatory,C,3,S,SW,rod,road,a,,,,
20,passageway,B,3,E,NESW,tier,tie,r,,,,
20,archives,B,4,S,NESW,cot,coat,a,,,,
20,great-hall,C,4,W,NESW,stage,sage,t,,,,
20,rotunda,D,4,W,NESW,fire,fir,e,,,,
20,terrace,E,4,,,sand,and,s,,,,
20,security,D,5,S,NSW,chart,cart,h,,,,
20,library,D,3,N,NE,clock,lock,c,,,,
20,master-bedroom,E,3,W,W,peak,pea,k,,,,
20,boiler-room,D,6,S,NSW,stage,stag,e,,,,
20,cloister,C,5,E,NESW,tiger,tier,g,,,,
20,commissary,C,6,S,SW,planet,plane,t,,,,
20,boudoir,B,6,E,ES,cost,coast,a,,,,
20,locksmith,B,5,N,N,pilot,plot,i,,,,
20,the-foundation,D,7,S,NSW,flan,fan,l,,,,
20,laboratory,C,7,E,ES,paint,pint,a,,,,
21,entrance-hall,C,1,S,NESW,face,ace,f,,,,
21,hallway,D,1,W,EW,pine,pin,e,,,,
21,commissary,E,1,W,NW,stag,tag,s,,,,
21,den,E,2,S,NSW,car,cart,t,,,,
21,hallway,D,2,E,NES,bath,bat,h,,,,
21,pantry,E,3,S,SW,peak,pea,k,,,,
21,observatory,D,3,E,NE,clock,lock,c,,,,
21,courtyard,B,1,E,NEW,prayer,pryer,a,,,,
21,parlour,A,1,E,NE,dessert,desert,s,,,,
21,tomb,O,1,,,,,?,,,,
21,patio,A,2,,ES,plane,plan,e,,,,
21,corridor,B,2,W,EW,stair,star,i,,,,
21,bedroom,C,2,W,NW,bridge,bride,g,,,,
21,drawing-room,C,3,S,ESW,rod,road,a,,,,
21,darkroom,B,3,E,NES,tier,tie,r,,,,
21,weight-room,B,4,S,NESW,cot,coat,a,,,,
21,closet,A,3,N,N,crow,row,c,,,,
21,laboratory,A,4,E,ES,car,card,d,,,,
21,passageway,B,5,S,NESW,pilot,plot,i,,,,
21,storeroom,A,5,E,E,tube,tub,e,,,,
21,guest-bedroom,C,5,W,W,tiger,tier,g,,,,
21,archives,B,6,S,NESW,cost,coast,a,,,,
21,nook,A,6,E,ES,grain,rain,g,,,,
21,billiard-room,C,6,W,SW,planet,plane,t,,,,
21,workshop,B,7,S,NS,tie,time,m,,,,
21,pool,D,4,S,ESW,fire,fir,e,,,,
21,gymnasium,E,4,W,NSW,sand,and,s,,,,
21,utility-closet,E,5,S,S,tent,ten,t,,,,
22,entrance-hall,C,1,S,NESW,face,ace,f,,,,
22,hovel,O,1,,,,,?,,,,
22,nook,B,1,E,NE,prayer,pryer,a,white,rook,,
22,spare-room,B,2,S,NS,stair,star,i,,,,
22,corridor,B,3,S,NS,tier,tie,r,,,,
